TGS 2610 (mV);TGS 2602  (mV);TGS 2620 (mV);TGS 2600 (mV);TGS 2611(mV);kelas
1092.7;1881.6;2704.8;2136.4;588;1
1092.7;1876.7;2709.7;2156;583.1;1
1097.6;1881.6;2724.4;2136.4;592.9;1
1087.8;1876.7;2709.7;2146.2;592.9;1
1092.7;1876.7;2699.9;2141.3;592.9;1
1097.6;1896.3;2699.9;2146.2;592.9;1
1097.6;1876.7;2709.7;2136.4;597.8;1
1092.7;1886.5;2699.9;2146.2;597.8;1
1097.6;1871.8;2709.7;2146.2;597.8;1
1092.7;1881.6;2714.6;2131.5;597.8;1
1092.7;1866.9;2714.6;2136.4;607.6;1
1092.7;1876.7;2714.6;2141.3;607.6;1
1097.6;1862;2714.6;2131.5;607.6;1
1097.6;1866.9;2714.6;2151.1;607.6;1
1097.6;1866.9;2714.6;2151.1;607.6;1
1097.6;1866.9;2729.3;2141.3;612.5;1
1102.5;1876.7;2714.6;2141.3;612.5;1
1097.6;1876.7;2714.6;2146.2;617.4;1
1102.5;1876.7;2729.3;2160.9;607.6;1
1102.5;1871.8;2734.2;2151.1;617.4;1
1107.4;1876.7;2734.2;2156;622.3;1
1097.6;1866.9;2729.3;2146.2;617.4;1
1097.6;1871.8;2704.8;2151.1;617.4;1
1102.5;1857.1;2719.5;2146.2;617.4;1
1097.6;1866.9;2719.5;2146.2;622.3;1
1097.6;1862;2714.6;2156;622.3;1
1107.4;1866.9;2729.3;2165.8;622.3;1
1107.4;1862;2734.2;2156;632.1;1
1107.4;1871.8;2729.3;2160.9;632.1;1
1102.5;1866.9;2719.5;2160.9;627.2;1
1107.4;1862;2724.4;2165.8;627.2;1
1107.4;1866.9;2734.2;2160.9;637;1
1102.5;1862;2739.1;2160.9;637;1
1102.5;1876.7;2729.3;2165.8;632.1;1
1102.5;1876.7;2729.3;2170.7;637;1
1107.4;1876.7;2719.5;2160.9;641.9;1
1102.5;1881.6;2719.5;2175.6;641.9;1
1102.5;1876.7;2724.4;2170.7;641.9;1
1112.3;1871.8;2739.1;2160.9;646.8;1
1107.4;1881.6;2729.3;2165.8;641.9;1
1107.4;1881.6;2729.3;2156;641.9;1
1112.3;1876.7;2744;2170.7;641.9;1
1112.3;1871.8;2739.1;2165.8;646.8;1
1112.3;1886.5;2739.1;2170.7;641.9;1
1102.5;1876.7;2744;2185.4;646.8;1
1107.4;1871.8;2734.2;2170.7;646.8;1
1107.4;1876.7;2758.7;2175.6;651.7;1
1112.3;1876.7;2739.1;2175.6;646.8;1
1107.4;1876.7;2739.1;2180.5;656.6;1
1117.2;1876.7;2739.1;2165.8;651.7;1
1112.3;1886.5;2734.2;2160.9;651.7;1
1112.3;1876.7;2724.4;2151.1;651.7;1
1112.3;1881.6;2734.2;2165.8;661.5;1
1112.3;1871.8;2729.3;2156;646.8;1
1107.4;1857.1;2719.5;2170.7;656.6;1
1112.3;1871.8;2724.4;2165.8;656.6;1
1117.2;1866.9;2719.5;2160.9;661.5;1
1112.3;1866.9;2729.3;2151.1;656.6;1
1122.1;1876.7;2704.8;2156;651.7;1
1107.4;1857.1;2714.6;2165.8;656.6;1
1097.6;1871.8;2719.5;2165.8;661.5;1
1112.3;1866.9;2724.4;2146.2;656.6;1
1107.4;1866.9;2714.6;2175.6;661.5;1
1112.3;1862;2709.7;2156;661.5;1
1107.4;1866.9;2714.6;2156;661.5;1
1102.5;1857.1;2729.3;2156;661.5;1
1107.4;1852.2;2699.9;2160.9;661.5;1
1102.5;1857.1;2709.7;2146.2;671.3;1
1107.4;1852.2;2714.6;2165.8;661.5;1
1107.4;1862;2719.5;2160.9;666.4;1
1107.4;1871.8;2699.9;2156;671.3;1
1107.4;1857.1;2699.9;2151.1;661.5;1
1107.4;1852.2;2704.8;2165.8;671.3;1
1102.5;1852.2;2709.7;2175.6;671.3;1
1107.4;1842.4;2709.7;2146.2;676.2;1
1092.7;1822.8;2690.1;2151.1;671.3;1
1019.2;1719.9;2597;2107;671.3;1
970.2;1572.9;2474.5;2028.6;676.2;1
931;1430.8;2396.1;1955.1;671.3;1
901.6;1288.7;2327.5;1896.3;671.3;1
882;1180.9;2249.1;1832.6;666.4;1
867.3;1082.9;2185.4;1764;666.4;1
857.5;999.6;2156;1719.9;666.4;1
847.7;931;2107;1680.7;661.5;1
837.9;886.9;2077.6;1636.6;666.4;1
828.1;842.8;2048.2;1607.2;661.5;1
818.3;808.5;2028.6;1577.8;656.6;1
818.3;788.9;2009;1553.3;661.5;1
813.4;759.5;1984.5;1519;651.7;1
813.4;749.7;1974.7;1514.1;651.7;1
808.5;735;1969.8;1479.8;651.7;1
798.7;720.3;1945.3;1465.1;646.8;1
803.6;710.5;1935.5;1450.4;646.8;1
798.7;700.7;1920.8;1440.6;641.9;1
788.9;690.9;1915.9;1416.1;637;1
788.9;686;1906.1;1406.3;637;1
788.9;681.1;1911;1396.5;632.1;1
784;671.3;1896.3;1396.5;632.1;1
788.9;676.2;1891.4;1386.7;632.1;1
788.9;666.4;1886.5;1367.1;627.2;1
788.9;666.4;1886.5;1367.1;622.3;1
784;666.4;1876.7;1352.4;622.3;1
779.1;666.4;1871.8;1352.4;617.4;1
779.1;661.5;1876.7;1342.6;612.5;1
779.1;656.6;1862;1337.7;612.5;1
779.1;656.6;1866.9;1332.8;612.5;1
774.2;651.7;1862;1327.9;607.6;1
774.2;646.8;1857.1;1323;607.6;1
774.2;641.9;1857.1;1313.2;597.8;1
774.2;646.8;1871.8;1318.1;602.7;1
769.3;646.8;1847.3;1308.3;592.9;1
769.3;641.9;1857.1;1303.4;592.9;1
769.3;646.8;1847.3;1303.4;588;1
769.3;641.9;1842.4;1298.5;588;1
764.4;637;1847.3;1293.6;588;1
769.3;637;1837.5;1293.6;588;1
769.3;632.1;1842.4;1283.8;583.1;1
764.4;632.1;1832.6;1283.8;583.1;1
764.4;632.1;1832.6;1283.8;578.2;1
759.5;627.2;1827.7;1278.9;578.2;1
764.4;627.2;1827.7;1274;573.3;1
759.5;627.2;1822.8;1269.1;573.3;1
764.4;622.3;1827.7;1269.1;573.3;1
759.5;622.3;1837.5;1274;568.4;1
759.5;622.3;1827.7;1264.2;573.3;1
759.5;622.3;1817.9;1264.2;568.4;1
759.5;622.3;1822.8;1264.2;563.5;1
759.5;617.4;1822.8;1259.3;563.5;1
759.5;612.5;1813;1264.2;563.5;1
754.6;612.5;1817.9;1264.2;563.5;1
754.6;612.5;1813;1254.4;558.6;1
759.5;612.5;1817.9;1254.4;558.6;1
759.5;617.4;1817.9;1254.4;558.6;1
759.5;617.4;1822.8;1259.3;553.7;1
759.5;617.4;1817.9;1254.4;548.8;1
759.5;617.4;1827.7;1259.3;553.7;1
754.6;612.5;1813;1254.4;553.7;1
754.6;617.4;1817.9;1259.3;553.7;1
759.5;612.5;1813;1254.4;553.7;1
754.6;612.5;1817.9;1249.5;548.8;1
754.6;607.6;1822.8;1254.4;548.8;1
759.5;612.5;1813;1254.4;543.9;1
754.6;612.5;1817.9;1254.4;543.9;1
754.6;617.4;1827.7;1249.5;543.9;1
759.5;617.4;1813;1249.5;543.9;1
754.6;617.4;1808.1;1244.6;539;1
754.6;632.1;1817.9;1249.5;543.9;1
754.6;617.4;1813;1249.5;539;1
759.5;617.4;1813;1249.5;539;1
754.6;617.4;1808.1;1244.6;539;1
754.6;612.5;1803.2;1249.5;539;1
749.7;612.5;1817.9;1239.7;534.1;1
754.6;607.6;1803.2;1249.5;539;1
759.5;612.5;1817.9;1249.5;539;1
754.6;602.7;1803.2;1239.7;534.1;1
759.5;607.6;1803.2;1244.6;539;1
759.5;607.6;1813;1239.7;534.1;1
759.5;607.6;1813;1239.7;548.8;1
759.5;612.5;1808.1;1244.6;534.1;1
759.5;612.5;1817.9;1244.6;534.1;1
759.5;612.5;1813;1244.6;534.1;1
759.5;617.4;1817.9;1244.6;534.1;1
764.4;617.4;1813;1254.4;534.1;1
759.5;617.4;1808.1;1244.6;529.2;1
754.6;612.5;1813;1239.7;529.2;1
759.5;617.4;1817.9;1244.6;534.1;1
759.5;612.5;1813;1249.5;534.1;1
754.6;607.6;1813;1244.6;529.2;1
759.5;607.6;1803.2;1234.8;529.2;1
759.5;607.6;1813;1239.7;534.1;1
759.5;612.5;1822.8;1244.6;529.2;1
759.5;607.6;1808.1;1244.6;529.2;1
759.5;607.6;1813;1239.7;529.2;1
759.5;607.6;1817.9;1234.8;529.2;1
759.5;607.6;1813;1239.7;529.2;1
754.6;602.7;1813;1239.7;524.3;1
759.5;602.7;1803.2;1239.7;524.3;1
759.5;597.8;1808.1;1234.8;524.3;1
759.5;602.7;1808.1;1239.7;524.3;1
759.5;602.7;1808.1;1234.8;524.3;1
759.5;602.7;1803.2;1234.8;519.4;1
759.5;602.7;1803.2;1234.8;524.3;1
754.6;602.7;1798.3;1229.9;519.4;1
754.6;607.6;1803.2;1234.8;529.2;1
749.7;607.6;1803.2;1229.9;519.4;1
749.7;607.6;1803.2;1229.9;519.4;1
754.6;612.5;1808.1;1225;519.4;1
754.6;607.6;1793.4;1229.9;519.4;1
749.7;602.7;1793.4;1225;519.4;1
749.7;602.7;1793.4;1229.9;519.4;1
754.6;602.7;1803.2;1225;519.4;1
749.7;602.7;1803.2;1229.9;514.5;1
754.6;602.7;1793.4;1225;519.4;1
754.6;597.8;1793.4;1220.1;514.5;1
754.6;597.8;1793.4;1220.1;509.6;1
749.7;602.7;1803.2;1225;514.5;1
754.6;602.7;1793.4;1225;514.5;1
749.7;607.6;1803.2;1220.1;514.5;1
749.7;602.7;1793.4;1225;514.5;1
749.7;607.6;1803.2;1220.1;514.5;1
754.6;607.6;1798.3;1225;514.5;1
749.7;607.6;1793.4;1220.1;509.6;1
749.7;607.6;1798.3;1220.1;514.5;1
749.7;612.5;1793.4;1225;514.5;1
749.7;607.6;1793.4;1239.7;514.5;1
754.6;602.7;1793.4;1234.8;509.6;1
754.6;607.6;1808.1;1225;509.6;1
764.4;607.6;1803.2;1225;514.5;1
754.6;612.5;1808.1;1225;514.5;1
749.7;612.5;1798.3;1220.1;514.5;1
754.6;607.6;1798.3;1225;509.6;1
749.7;607.6;1798.3;1225;509.6;1
754.6;602.7;1793.4;1225;509.6;1
749.7;612.5;1803.2;1225;509.6;1
749.7;602.7;1793.4;1220.1;514.5;1
754.6;602.7;1798.3;1220.1;509.6;1
744.8;602.7;1798.3;1225;514.5;1
749.7;602.7;1793.4;1225;509.6;1
749.7;602.7;1788.5;1229.9;514.5;1
769.3;602.7;1798.3;1220.1;509.6;1
764.4;602.7;1788.5;1220.1;504.7;1
744.8;597.8;1803.2;1215.2;509.6;1
749.7;597.8;1798.3;1225;509.6;1
744.8;597.8;1803.2;1220.1;509.6;1
744.8;592.9;1783.6;1215.2;509.6;1
744.8;597.8;1788.5;1215.2;509.6;1
744.8;597.8;1783.6;1215.2;509.6;1
749.7;597.8;1783.6;1215.2;509.6;1
744.8;597.8;1788.5;1210.3;509.6;1
744.8;597.8;1783.6;1215.2;509.6;1
749.7;607.6;1793.4;1225;514.5;1
754.6;607.6;1793.4;1220.1;509.6;1
749.7;607.6;1788.5;1225;514.5;1
749.7;602.7;1793.4;1225;509.6;1
754.6;602.7;1793.4;1215.2;509.6;1
754.6;602.7;1793.4;1220.1;514.5;1
754.6;602.7;1788.5;1220.1;509.6;1
754.6;597.8;1788.5;1215.2;509.6;1
754.6;607.6;1793.4;1220.1;509.6;1
754.6;602.7;1788.5;1220.1;509.6;1
754.6;602.7;1793.4;1220.1;509.6;1
754.6;602.7;1793.4;1220.1;509.6;1
754.6;607.6;1788.5;1215.2;509.6;1
749.7;607.6;1798.3;1220.1;509.6;1
754.6;607.6;1788.5;1215.2;514.5;1
754.6;607.6;1793.4;1220.1;514.5;1
754.6;612.5;1808.1;1215.2;509.6;1
754.6;612.5;1798.3;1225;509.6;1
754.6;612.5;1793.4;1215.2;509.6;1
754.6;612.5;1798.3;1220.1;509.6;1
749.7;612.5;1803.2;1220.1;509.6;1
749.7;612.5;1793.4;1220.1;509.6;1
754.6;612.5;1798.3;1220.1;509.6;1
754.6;612.5;1803.2;1220.1;509.6;1
754.6;607.6;1803.2;1210.3;509.6;1
749.7;612.5;1798.3;1220.1;504.7;1
764.4;612.5;1803.2;1220.1;509.6;1
764.4;607.6;1813;1220.1;514.5;1
774.2;637;1822.8;1229.9;509.6;1
803.6;695.8;1886.5;1244.6;509.6;1
833;774.2;1964.9;1278.9;509.6;1
857.5;872.2;2043.3;1303.4;509.6;1
886.9;975.1;2111.9;1352.4;514.5;1
896.7;1058.4;2175.6;1411.2;514.5;1
911.4;1136.8;2244.2;1455.3;514.5;1
926.1;1210.3;2278.5;1504.3;514.5;1
935.9;1269.1;2327.5;1558.2;519.4;1
945.7;1323;2366.7;1612.1;519.4;1
955.5;1357.3;2381.4;1641.5;519.4;1
960.4;1401.4;2405.9;1685.6;514.5;1
975.1;1435.7;2435.3;1719.9;519.4;1
980;1465.1;2454.9;1744.4;529.2;1
989.8;1484.7;2484.3;1778.7;524.3;1
999.6;1514.1;2489.2;1798.3;529.2;1
999.6;1533.7;2503.9;1832.6;529.2;1
1004.5;1548.4;2513.7;1852.2;534.1;1
1009.4;1572.9;2518.6;1881.6;539;1
1009.4;1568;2523.5;1881.6;534.1;1
1024.1;1587.6;2543.1;1891.4;543.9;1
1009.4;1582.7;2543.1;1901.2;534.1;1
1024.1;1602.3;2557.8;1920.8;543.9;1
1014.3;1612.1;2577.4;1925.7;539;1
1014.3;1621.9;2557.8;1945.3;543.9;1
1019.2;1612.1;2548;1950.2;543.9;1
1029;1621.9;2577.4;1945.3;553.7;1
1024.1;1631.7;2567.6;1950.2;548.8;1
1038.8;1641.5;2562.7;1955.1;548.8;1
1033.9;1636.6;2606.8;1994.3;553.7;1
1038.8;1636.6;2587.2;1989.4;553.7;1
1038.8;1641.5;2601.9;1979.6;558.6;1
1033.9;1651.3;2572.5;1999.2;553.7;1
1033.9;1651.3;2582.3;1994.3;563.5;1
1038.8;1656.2;2592.1;2009;558.6;1
1063.3;1661.1;2601.9;2004.1;563.5;1
1043.7;1656.2;2601.9;1999.2;563.5;1
1043.7;1666;2597;2033.5;563.5;1
1048.6;1651.3;2626.4;2018.8;568.4;1
1043.7;1661.1;2606.8;2018.8;568.4;1
1048.6;1656.2;2601.9;2028.6;573.3;1
1048.6;1656.2;2611.7;2023.7;568.4;1
1038.8;1666;2592.1;2033.5;578.2;1
1038.8;1656.2;2601.9;2023.7;578.2;1
1048.6;1670.9;2611.7;2038.4;578.2;1
1048.6;1670.9;2621.5;2033.5;583.1;1
1053.5;1666;2616.6;2043.3;578.2;1
1048.6;1656.2;2606.8;2033.5;583.1;1
1053.5;1675.8;2641.1;2048.2;588;1
1048.6;1666;2626.4;2033.5;583.1;1
1053.5;1680.7;2636.2;2053.1;588;1
1053.5;1680.7;2631.3;2067.8;592.9;1
1058.4;1685.6;2631.3;2038.4;592.9;1
1053.5;1680.7;2631.3;2053.1;592.9;1
1048.6;1685.6;2621.5;2043.3;597.8;1
1058.4;1670.9;2621.5;2043.3;602.7;1
1058.4;1705.2;2631.3;2053.1;602.7;1
1058.4;1675.8;2616.6;2053.1;602.7;1
1053.5;1675.8;2616.6;2053.1;607.6;1
1053.5;1670.9;2646;2053.1;602.7;1
1058.4;1675.8;2621.5;2038.4;612.5;1
1058.4;1670.9;2626.4;2067.8;607.6;1
1058.4;1675.8;2616.6;2062.9;607.6;1
1058.4;1670.9;2616.6;2058;607.6;1
1058.4;1675.8;2621.5;2053.1;617.4;1
1058.4;1685.6;2641.1;2058;617.4;1
1063.3;1685.6;2616.6;2058;612.5;1
1063.3;1680.7;2636.2;2062.9;617.4;1
1063.3;1675.8;2636.2;2053.1;622.3;1
1058.4;1695.4;2636.2;2072.7;612.5;1
1063.3;1690.5;2636.2;2062.9;617.4;1
1068.2;1680.7;2655.8;2067.8;622.3;1
1068.2;1685.6;2641.1;2062.9;622.3;1
1058.4;1690.5;2650.9;2058;622.3;1
1068.2;1695.4;2636.2;2082.5;622.3;1
1078;1690.5;2636.2;2082.5;627.2;1
1068.2;1705.2;2646;2077.6;622.3;1
1068.2;1705.2;2660.7;2072.7;627.2;1
1073.1;1705.2;2646;2077.6;632.1;1
1078;1700.3;2646;2082.5;632.1;1
1063.3;1705.2;2646;2087.4;637;1
1078;1715;2646;2082.5;632.1;1
1068.2;1705.2;2650.9;2072.7;632.1;1
1073.1;1700.3;2650.9;2082.5;637;1
1073.1;1705.2;2655.8;2072.7;641.9;1
1068.2;1715;2646;2082.5;637;1
1078;1710.1;2650.9;2067.8;641.9;1
1073.1;1715;2631.3;2077.6;637;1
1073.1;1700.3;2646;2072.7;646.8;1
1082.9;1705.2;2660.7;2072.7;641.9;1
1073.1;1715;2670.5;2077.6;646.8;1
1078;1719.9;2655.8;2087.4;646.8;1
1073.1;1705.2;2665.6;2072.7;646.8;1
